Promosyon,VadeIskonto,Promosyon_GecenAy,Lansman İçerik Kodu,BolgeDepoSayısı,Boya Tüketici Fiyat Endeksi,BaglantiKampanyasiBittiMi,BaglantiKampanyasi,IskontoOran,ToplamTeklifMiktari,VadeIskonto_GecenAy,CRMAktiviteTuru,CRMAktiviteBitiseUzaklik,CRM_Hedef_Kitle_Kisi_Sayi,Tüketici Fiyatlarının Değişimine Ilişkin Düşünce,DonemSonu,USD_Std6,Pesin_GecenAy,PromosyonIskonto,ToplamHedef,Konut Faiz Oranları_RM6,Satis,Yapı Kullanma İzin Belgesi - Daire Sayısı_RM6,KampanyaTuru_GecenAy,Boya ÜFE_RM6,Boya ÜFE_RM12,Binalar Ve Bina İnşaat İşleri_RM12,Binalar Ve Bina İnşaat İşleri_RM6,ToptanciStok,İnşaat Büyüme_RM3,IadeKampanyasi,Yıl,Ay,Bölüm5 Kod,MusteriGrup,ToplamTonaj
0.0,2.0,0.0,0,0.0,14.282500267028807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,0.0,0.3137153969862435,0.0,0.0,76716802.31,11.938250064849855,217563498.16593,69059.77734375,2.0,191.0816701253256,188.14000193278,113.7349993387858,116.11166636149088,1465730.896,3.3472410837809243,0.0,2017,1,5,Toptancı+Perakendeci,651234.2
0.0,2.0,0.0,0,0.0,14.82979965209961,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.55000305175781,0.0,0.3188562717938183,0.0,0.0,76716802.31,11.69158331553141,229420067.126218,71288.388671875,1.0,194.74166870117188,189.9883346557617,115.02916590372723,118.18999862670898,2363408.97,-8.961057345072428,0.0,2017,2,5,Toptancı+Perakendeci,1156396.735
0.0,2.0,0.0,0,0.0,15.10990047454834,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.95999908447266,1.0,0.2651571305066341,0.0,0.0,76716802.31,11.519583225250244,11090710.3174,73517.0,1.0,198.59500122070312,192.0441678365072,116.35249964396161,120.51499938964844,2152874.565,-21.26935577392578,0.0,2017,3,5,Toptancı+Perakendeci,1868063.372
0.0,2.0,0.0,0,0.0,15.3302001953125,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.37999725341797,0.0,0.17397573332495544,0.0,0.0,220096355.91,11.379583199818931,30570621.407908,70782.22200520831,1.0,202.47500101725257,194.14333470662442,117.6391665140788,122.8083330790202,2263680.057,-3.2349014282226562,0.0,2017,4,5,Toptancı+Perakendeci,155054.81900000002
0.0,2.0,0.0,0,0.0,15.430899620056152,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.84999847412111,0.0,0.08823978499270194,0.0,0.0,220096355.91,11.35499986012777,65618725.26578101,68047.44401041669,1.0,206.31166585286462,196.35083389282227,118.84250005086264,124.70666631062824,2079871.198,14.799552917480467,0.0,2017,5,5,Toptancı+Perakendeci,243886.766
0.0,2.0,0.0,0,0.0,15.50879955291748,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.12000274658203,1.0,0.07899906003702233,0.0,0.0,220096355.91,11.40433327356974,84814112.74078299,65312.666015625,1.0,209.68499755859366,198.6475003560384,120.09833335876465,126.15333302815756,1697326.201,32.834007263183594,0.0,2017,6,5,Toptancı+Perakendeci,1044179.458
0.0,0.0,0.0,0,0.0,15.6225004196167,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.44000244140625,0.0,0.06596888352707146,0.0,0.0,304353509.17,11.49808327356974,103631639.125371,64614.5546875,1.0,211.5666631062826,201.324166615804,121.4466667175293,126.78166707356769,1328224.442,24.860648473103836,0.0,2017,7,5,Toptancı+Perakendeci,742808.058
0.0,0.0,0.0,0,0.0,15.831100463867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.05000305175781,0.0,0.06600153266704008,0.0,0.0,304353509.17,11.683499972025551,136903819.373774,63916.443359375,1.0,213.57999674479169,204.16083272298172,122.86249987284344,127.53500111897785,1067595.745,16.88728968302409,0.0,2017,8,5,Toptancı+Perakendeci,327644.675
0.0,0.0,0.0,0,0.0,16.013799667358402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44999694824219,1.0,0.06335529298629132,0.0,0.0,304353509.17,11.985500017801918,156375229.908421,63218.33203125,1.0,215.778330485026,207.18666585286462,124.39166641235352,128.2683334350586,1297589.813,8.913930892944336,0.0,2017,9,5,Toptancı+Perakendeci,1124750.685
0.0,0.0,0.0,0,0.0,16.242599487304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.36000061035156,0.0,0.06624558830604707,0.0,0.0,384557339.68,12.280500094095864,171801638.13498,66681.166015625,1.0,218.53166453043616,210.50333277384442,125.98999977111816,129.17166646321616,1369224.154,6.703282356262207,0.0,2017,10,5,Toptancı+Perakendeci,504227.128
